Unique ID,Email,Date Taken (America/New_York),Time Taken (America/New_York),Browser,OS,City,Country,Referrer,Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
62a3906224a262602738c58a,anonymous,6/10/2022,9:45,,,,,,0:00:44,Data Analyst,Yes,86k-105k,Tech,Python,10.0,,1.0,,0.0,0.0,Difficult,Other (Please Specify):Collaboration ,Male,29,United Kingdom,Bachelors,White or Caucasian
62a3906224a262602738c58a,anonymous,6/19/2022,9:45,,,,,,0:00:58,Data Analyst,No,0-40k,Other (Please Specify):None,R,10.0,6.0,5.0,6.0,,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,40,Other (Please Specify):Greece,Bachelors,Asian or Asian American
62a34f3bf408bae018ed5e42,anonymous,6/10/2022,9:26,,,,,,0:03:55,Student/Looking/None,Yes,86k-105k,Agriculture,Python,10.0,9.0,6.0,10.0,0.0,10.0,Difficult,Better Salary,Male,18,Canada,High School,White or Caucasian
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,9:45,,,,,,0:03:00,Data Engineer,Yes,0-40k,Other (Please Specify):Sensors,Python,7.0,9.0,8.0,10.0,2.0,10.0,Difficult,Good Culture,Male,28,Other (Please Specify):Pakistan,Masters,Hispanic or Latino
62a34687f408bae018ed4c52,anonymous,6/10/2022,11:54,,,,,,0:01:29,Data Analyst,No,0-40k,Finance,Python,,2.0,,0.0,8.0,10.0,Difficult,Other (Please Specify):All of the above,Female,26,United States,Masters,Asian or Asian American
62a34f3bf408bae018ed5e42,anonymous,6/10/2022,9:49,,,,,,0:02:31,Data Analyst,Yes,0-40k,Healthcare,Python,0.0,5.0,0.0,3.0,10.0,10.0,Very Difficult,Better Salary,Male,42,United States,Masters,White or Caucasian
62a353f07dc029e2d66c1783,anonymous,6/10/2022,9:06,,,,,,0:02:31,Data Analyst,Yes,0-40k,Finance,R,4.0,6.0,,8.0,0.0,10.0,Difficult,Remote Work,Male,30,Other (Please Specify):Greece,Masters,White or Caucasian
62a48612d8c00e9f541b86b8,anonymous,6/10/2022,9:44,,,,,,0:02:31,Data Analyst,Yes,0-40k,Other (Please Specify):Medical industry ,Python,0.0,,0.0,9.0,10.0,10.0,Easy,Good Work/Life Balance,Male,19,United States,Bachelors,Black or African American
62a33c8624a26260273822f9,anonymous,6/10/2022,9:35,,,,,,0:02:18,Data Analyst,No,0-40k,Tech,Python,4.0,,0.0,1.0,6.0,10.0,Neither easy nor difficult,Better Salary,Male,18,United States,Masters,Other (Please Specify):Kenyan African 
62a33c8624a26260273822f9,anonymous,6/11/2022,9:45,,,,,,0:02:31,Data Architect,No,86k-105k,Tech,R,,0.0,4.0,,,0.0,Easy,Good Work/Life Balance,Male,30,Canada,Masters,White or Caucasian
62a3906224a262602738c58a,anonymous,6/26/2022,10:41,,,,,,0:02:31,Data Architect,No,0-40k,Other (Please Specify):Warehouse,Other:None,,10.0,,6.0,5.0,1.0,Difficult,Good Work/Life Balance,Male,34,India,Masters,Black or African American
62a38a97cf25554317309af2,anonymous,6/10/2022,9:35,,,,,,0:02:18,Data Analyst,No,0-40k,Other (Please Specify):Direct Marketing,Python,2.0,9.0,,,7.0,10.0,Very Difficult,Better Salary,Female,34,United States,Masters,Black or African American
62a48612d8c00e9f541b86b8,anonymous,6/10/2022,9:35,,,,,,0:02:31,Data Analyst,Yes,0-40k,Tech,Python,3.0,8.0,0.0,10.0,9.0,0.0,Neither easy nor difficult,Remote Work,Male,18,Other (Please Specify):Austr,,White or Caucasian
62a34f3bf408bae018ed5e42,anonymous,6/11/2022,9:35,,,,,,0:02:28,Data Analyst,No,0-40k,Other (Please Specify):Retail,Other:Qlik sense script,2.0,0.0,9.0,0.0,8.0,4.0,Difficult,Remote Work,Male,33,United States,Masters,"Other (Please Specify):Black African, Zimbabwean Citizen"
62a3944024a262602738cb07,anonymous,6/11/2022,12:04,,,,,,0:01:29,Data Analyst,No,0-40k,Finance,Python,4.0,10.0,8.0,1.0,5.0,10.0,Neither easy nor difficult,Good Work/Life Balance,Male,32,India,Masters,White or Caucasian
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,11:54,,,,,,0:01:30,Data Analyst,Yes,150k-225k,Education,Python,,0.0,8.0,6.0,3.0,2.0,Neither easy nor difficult,Good Culture,Male,30,Other (Please Specify):Mexico,Bachelors,White or Caucasian
62a34f3bf408bae018ed5e42,anonymous,6/13/2022,11:45,,,,,,0:01:29,Other (Please Specify):Business Intelligence Engineer,Yes,0-40k,Finance,Other,1.0,4.0,1.0,5.0,3.0,10.0,Neither easy nor difficult,Remote Work,Male,19,Other (Please Specify):Australia,Bachelors,Asian or Asian American
62a33de124a26260273826b2,anonymous,6/11/2022,9:44,,,,,,0:01:27,Data Analyst,No,0-40k,Healthcare,Python,10.0,10.0,7.0,10.0,3.0,6.0,Difficult,Better Salary,Male,19,Other (Please Specify):Romania,Masters,Other (Please Specify):Race isn't a thing
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,9:45,,,,,,0:02:31,Data Analyst,No,106k-125k,Tech,Other:MATLAB,1.0,5.0,10.0,0.0,1.0,2.0,Neither easy nor difficult,Better Salary,Male,41,United States,Masters,Hispanic or Latino
62a33c8624a26260273822f9,anonymous,6/10/2022,9:44,,,,,,0:01:27,Data Analyst,Yes,86k-105k,Finance,Python,10.0,8.0,7.0,10.0,1.0,10.0,Neither easy nor difficult,Good Work/Life Balance,Male,49,United States,Masters,Hispanic or Latino
62a33de124a26260273826b2,anonymous,6/10/2022,9:44,,,,,,0:02:31,Data Analyst,No,0-40k,Other (Please Specify):Advertising,Python,,2.0,,8.0,,9.0,Difficult,Better Salary,Male,34,Other (Please Specify): Somalia,Bachelors,Black or African American
62a33de124a26260273826b2,anonymous,6/10/2022,9:49,,,,,,0:01:27,"Other (Please Specify):Manager, Business Intelligence Develop",No,86k-105k,Finance,Python,7.0,0.0,0.0,10.0,0.0,2.0,Neither easy nor difficult,Good Culture,Male,42,Other (Please Specify):Poland,High School,White or Caucasian
62a33cb6cf25554317300177,anonymous,6/10/2022,9:35,,,,,,0:02:31,Data Analyst,No,86k-105k,Tech,Python,1.0,10.0,5.0,,7.0,7.0,Neither easy nor difficult,Better Salary,Male,50,United States,Masters,Asian or Asian American
62a3906224a262602738c58a,anonymous,6/10/2022,8:57,,,,,,0:02:31,Other (Please Specify):Analytics Engineer,Yes,86k-105k,Education,R,0.0,7.0,5.0,4.0,4.0,0.0,Very Difficult,Good Culture,Male,26,Other (Please Specify):South Africa,High School,Other (Please Specify):Melayu
62a47e812e54c9003e54d789,anonymous,6/10/2022,11:54,,,,,,0:00:44,Data Analyst,Yes,0-40k,Finance,Other:SQL,10.0,,6.0,10.0,5.0,0.0,Neither easy nor difficult,"Other (Please Specify):I just started and I don't like programming so much, so I would search for a more ""impactiful"" role. Meaning: being able to take decisions that steer the business.",Female,18,India,Masters,White or Caucasian
62a3906224a262602738c58a,anonymous,6/12/2022,11:54,,,,,,0:01:29,Data Analyst,Yes,0-40k,Finance,Python,,10.0,,10.0,0.0,2.0,Neither easy nor difficult,Better Salary,Male,27,Canada,,Asian or Asian American
62a34646f8d5efcc22f7dc5c,anonymous,6/10/2022,9:21,,,,,,0:01:25,Data Analyst,Yes,41k-65k,Finance,Python,8.0,4.0,9.0,5.0,0.0,0.0,Difficult,Good Work/Life Balance,Male,44,Other (Please Specify):Spain,Bachelors,Other (Please Specify):arab
62a39a340f8c8599d5afc6ce,anonymous,6/11/2022,9:45,,,,,,0:02:28,Data Analyst,No,0-40k,Tech,Python,10.0,10.0,10.0,6.0,2.0,5.0,Neither easy nor difficult,Good Culture,Male,34,India,Masters,Asian or Asian American
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,11:53,,,,,,0:01:29,Data Analyst,Yes,0-40k,Tech,Python,2.0,7.0,10.0,8.0,0.0,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,18,Other (Please Specify):Singapore,Masters,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:45,,,,,,0:03:00,Data Analyst,No,0-40k,Other (Please Specify):Renewable Resources,Python,7.0,2.0,0.0,10.0,6.0,0.0,Very Difficult,Good Culture,Male,54,Other (Please Specify):South Africa,Masters,Asian or Asian American
62a39a340f8c8599d5afc6ce,anonymous,6/15/2022,9:44,,,,,,0:01:33,Data Analyst,Yes,41k-65k,Finance,Python,10.0,1.0,,,2.0,0.0,Neither easy nor difficult,Other (Please Specify):Opportunities for growth ,Female,18,United States,Associates,White or Caucasian
62a48612d8c00e9f541b86b8,anonymous,6/10/2022,9:44,,,,,,0:02:31,Data Analyst,No,86k-105k,Healthcare,Python,2.0,0.0,0.0,10.0,,10.0,Easy,Good Work/Life Balance,Male,21,Canada,Masters,Asian or Asian American
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:35,,,,,,0:02:31,Data Analyst,Yes,0-40k,Tech,Python,2.0,10.0,8.0,1.0,10.0,10.0,Neither easy nor difficult,Good Culture,Male,34,United States,Masters,Asian or Asian American
62a33de124a26260273826b2,anonymous,6/15/2022,11:54,,,,,,0:03:55,Data Analyst,Yes,0-40k,Finance,Other:SQL,3.0,0.0,10.0,10.0,0.0,4.0,Difficult,Better Salary,Male,26,Other (Please Specify):Indonesia,Associates,Hispanic or Latino
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:13,,,,,,0:01:25,Data Analyst,Yes,41k-65k,Finance,R,8.0,10.0,2.0,10.0,3.0,1.0,Easy,Better Salary,Male,44,United States,Bachelors,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:44,,,,,,0:02:31,Data Analyst,Yes,86k-105k,Other (Please Specify):Supply Chain,Other,10.0,5.0,10.0,,3.0,1.0,Neither easy nor difficult,Better Salary,Male,21,Other (Please Specify):Panama,Masters,Asian or Asian American
62a49fe7b4da29969c64bbe1,anonymous,6/11/2022,9:44,,,,,,0:01:25,Data Analyst,Yes,0-40k,Healthcare,Python,9.0,10.0,10.0,6.0,0.0,1.0,Difficult,Remote Work,Male,18,United Kingdom,Masters,White or Caucasian
62a39a340f8c8599d5afc6ce,anonymous,6/11/2022,9:44,,,,,,0:02:31,Data Analyst,Yes,0-40k,Tech,Python,10.0,10.0,9.0,7.0,,9.0,Difficult,Better Salary,Male,35,United States,Masters,White or Caucasian
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,11:53,,,,,,0:02:47,Data Analyst,Yes,0-40k,Tech,Python,10.0,0.0,9.0,5.0,2.0,0.0,Very Difficult,Good Work/Life Balance,Male,34,United States,Bachelors,White or Caucasian
62a5bea05d257a28a3106f7e,anonymous,6/11/2022,9:45,,,,,,0:02:31,Data Analyst,Yes,41k-65k,Other (Please Specify):Foodservice Franchising,Other,2.0,10.0,8.0,7.0,,10.0,Difficult,Better Salary,Male,34,United Kingdom,Masters,White or Caucasian
62a47e812e54c9003e54d789,anonymous,6/10/2022,9:06,,,,,,0:02:31,Data Analyst,Yes,0-40k,Other (Please Specify):Medical industry ,Python,1.0,5.0,5.0,10.0,4.0,5.0,Difficult,Good Work/Life Balance,Male,28,Other (Please Specify):Argentina,Bachelors,White or Caucasian
62a33d5c0f8c8599d5af107c,anonymous,6/11/2022,9:49,,,,,,0:02:47,Data Analyst,No,0-40k,Finance,Python,10.0,3.0,4.0,5.0,,10.0,Difficult,Better Salary,Male,39,India,Masters,Hispanic or Latino
62a34646f8d5efcc22f7dc5c,anonymous,6/10/2022,9:07,,,,,,0:01:27,Other (Please Specify):Software Developer ,Yes,41k-65k,Tech,Python,8.0,3.0,,10.0,0.0,6.0,Neither easy nor difficult,Better Salary,Male,42,United States,Masters,Other (Please Specify):Malay
62a39a340f8c8599d5afc6ce,anonymous,6/12/2022,11:53,,,,,,0:02:31,Data Engineer,Yes,0-40k,Tech,Other:Php,7.0,5.0,,,10.0,,Neither easy nor difficult,Good Work/Life Balance,Male,57,Other (Please Specify):Serbia,Masters,Other (Please Specify):Indian
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:07,,,,,,0:01:11,Data Analyst,Yes,0-40k,Finance,Python,10.0,,10.0,4.0,3.0,10.0,Neither easy nor difficult,Good Work/Life Balance,Male,44,United States,Masters,Asian or Asian American
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,11:18,,,,,,0:01:30,Data Analyst,Yes,0-40k,Finance,Python,10.0,10.0,10.0,1.0,4.0,8.0,Neither easy nor difficult,Better Salary,Male,35,United Kingdom,Bachelors,Other (Please Specify):Arabian (from Maghreb)
62a39a340f8c8599d5afc6ce,anonymous,6/12/2022,9:45,,,,,,0:01:20,Data Analyst,Yes,0-40k,Construction,Python,4.0,8.0,4.0,10.0,3.0,6.0,Neither easy nor difficult,Better Salary,Male,51,Other (Please Specify):Argentina ,Bachelors,White or Caucasian
62a48612d8c00e9f541b86b8,anonymous,6/10/2022,9:45,,,,,,0:01:29,Data Analyst,No,125k-150k,Tech,Python,3.0,7.0,5.0,,8.0,0.0,Difficult,Better Salary,Male,21,United States,,White or Caucasian
62a3976ecf2555431730af5e,anonymous,6/10/2022,9:45,,,,,,0:01:34,Data Analyst,No,66k-85k,Other (Please Specify):Consulti,Python,10.0,10.0,,10.0,3.0,0.0,Neither easy nor difficult,Good Culture,Male,32,Other (Please Specify):Greece,Bachelors,"Other (Please Specify):Black African, Zimbabwean Citizen"
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,9:45,,,,,,0:01:29,Data Analyst,Yes,0-40k,Tech,Python,0.0,3.0,10.0,10.0,7.0,0.0,Difficult,Better Salary,Male,41,United Kingdom,Masters,Hispanic or Latino
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,11:54,,,,,,0:01:27,Data Analyst,Yes,0-40k,Education,Python,7.0,5.0,2.0,2.0,0.0,3.0,Difficult,Remote Work,Male,28,Other (Please Specify):Germany,Masters,Hispanic or Latino
62a3906224a262602738c58a,anonymous,6/10/2022,11:54,,,,,,0:03:55,Other (Please Specify):Junior Software Engineer,No,41k-65k,Other (Please Specify):Poultry,Python,7.0,8.0,2.0,7.0,7.0,0.0,Neither easy nor difficult,Better Salary,Male,34,United States,,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:45,,,,,,0:03:00,Data Analyst,Yes,41k-65k,Tech,Python,0.0,0.0,0.0,,10.0,10.0,Neither easy nor difficult,Remote Work,Male,20,India,Bachelors,Other (Please Specify):African
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,9:45,,,,,,0:02:29,Data Analyst,No,0-40k,Finance,Python,6.0,10.0,10.0,7.0,0.0,0.0,Neither easy nor difficult,Better Salary,Male,32,Other (Please Specify):Costa Rica,Bachelors,White or Caucasian
62a3906224a262602738c58a,anonymous,6/11/2022,9:45,,,,,,0:01:27,Other (Please Specify):Insights analyst,Yes,106k-125k,Other (Please Specify):sports,Python,10.0,0.0,1.0,,5.0,7.0,Difficult,Good Work/Life Balance,Male,20,Other (Please Specify):Ire,,White or Caucasian
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:45,,,,,,0:01:27,Data Analyst,Yes,41k-65k,Tech,Python,4.0,10.0,10.0,5.0,0.0,5.0,Difficult,Better Salary,Male,28,Other (Please Specify):South Africa,Masters,Asian or Asian American
62a49b3cb4da29969c64b5dc,anonymous,6/10/2022,10:41,,,,,,0:00:44,Data Analyst,No,0-40k,Finance,Python,4.0,6.0,10.0,8.0,1.0,4.0,Very Difficult,Better Salary,Male,39,Other (Please Specify):Portugal,Bachelors,White or Caucasian
62a3906224a262602738c58a,anonymous,6/16/2022,9:45,,,,,,0:03:55,Data Analyst,Yes,66k-85k,Healthcare,Python,,7.0,4.0,0.0,0.0,5.0,Difficult,Better Salary,Male,39,Other (Please Specify):Poland,,Hispanic or Latino
62a3906224a262602738c58a,anonymous,6/14/2022,11:54,,,,,,0:02:47,Data Analyst,Yes,86k-105k,Other (Please Specify):Manufacturing,Python,10.0,9.0,0.0,0.0,,10.0,Neither easy nor difficult,Remote Work,Male,55,Other (Please Specify):Nigeria,Masters,Black or African American
62a421cebc6861bf317803f5,anonymous,6/10/2022,9:07,,,,,,0:02:31,Data Analyst,No,86k-105k,Tech,Other:SQL,0.0,4.0,5.0,,7.0,8.0,Easy,Better Salary,Male,18,Other (Please Specify):Indonesia,Associates,White or Caucasian
62a3906224a262602738c58a,anonymous,6/10/2022,9:45,,,,,,0:02:31,Data Analyst,Yes,66k-85k,Tech,Python,,10.0,8.0,9.0,9.0,10.0,Neither easy nor difficult,Good Work/Life Balance,Female,35,United States,Bachelors,Asian or Asian American
62a38a97cf25554317309af2,anonymous,6/13/2022,11:53,,,,,,0:01:29,Data Analyst,Yes,225k+,Finance,Python,4.0,9.0,1.0,,4.0,0.0,Easy,Good Work/Life Balance,Male,24,United States,Bachelors,White or Caucasian
62a353f07dc029e2d66c1783,anonymous,6/15/2022,9:45,,,,,,0:01:25,Data Analyst,Yes,66k-85k,Telecommunication,Other:SQL,4.0,8.0,,9.0,0.0,0.0,Difficult,Better Salary,Female,23,United States,,Black or African American
62a33de124a26260273826b2,anonymous,6/10/2022,9:45,,,,,,0:01:29,Other (Please Specify):Business Analyst,Yes,0-40k,Tech,Python,10.0,6.0,2.0,10.0,8.0,10.0,Difficult,Other (Please Specify):Better work & remote salary,Male,28,Other (Please Specify):Nigeria ,Masters,Other (Please Specify):Indian
62a33de124a26260273826b2,anonymous,6/10/2022,9:06,,,,,,0:01:27,Data Analyst,Yes,0-40k,Other (Please Specify):Consumer retail,Python,10.0,10.0,10.0,6.0,,0.0,Neither easy nor difficult,Better Salary,Male,44,Other (Please Specify):United Arab Emirates ,,White or Caucasian
62a33de124a26260273826b2,anonymous,6/10/2022,9:34,,,,,,0:02:31,Data Analyst,Yes,0-40k,Tech,Other:Sql,4.0,5.0,7.0,,9.0,1.0,Neither easy nor difficult,Better Salary,Male,34,United States,High School,Other (Please Specify):7
62a34e00f8f7561645854954,anonymous,6/11/2022,9:45,,,,,,0:02:19,Data Engineer,Yes,41k-65k,Education,Python,5.0,3.0,0.0,5.0,4.0,10.0,Neither easy nor difficult,Better Salary,Male,18,United States,,White or Caucasian
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:49,,,,,,0:02:47,Data Analyst,Yes,0-40k,Other (Please Specify):Supply Chain,Python,,,6.0,3.0,8.0,7.0,Difficult,Good Culture,Male,34,United States,Masters,White or Caucasian
62a34f3bf408bae018ed5e42,anonymous,6/14/2022,9:45,,,,,,0:00:47,Data Analyst,No,150k-225k,Finance,Python,1.0,10.0,6.0,,,8.0,Difficult,Better Salary,Male,33,Other (Please Specify):South Korea,Masters,Hispanic or Latino
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:45,,,,,,0:01:29,Data Analyst,No,0-40k,Education,Python,,10.0,7.0,10.0,0.0,6.0,Difficult,Good Culture,Male,41,United Kingdom,Masters,Black or African American
62a39a340f8c8599d5afc6ce,anonymous,6/10/2022,9:07,,,,,,0:03:55,Data Analyst,No,0-40k,Other (Please Specify):Energy ,Python,1.0,9.0,10.0,5.0,9.0,6.0,Difficult,Better Salary,Male,34,India,Masters,Asian or Asian American
62a49fe7b4da29969c64bbe1,anonymous,6/10/2022,9:26,,,,,,0:02:31,Data Analyst,No,0-40k,Tech,Python,4.0,2.0,10.0,10.0,8.0,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,43,Other (Please Specify):Portugal,Masters,White or Caucasian
